date,F107,Mag,Xbg,FI_max_smooth,FI_max_jitter
1998/1/1,101.6,6,1.60E-07,12.557605873495204,-1.557605873
1998/1/2,101,3,2.20E-07,10.820713722771316,1.1792862772286838
1998/1/3,101.1,2,4.10E-07,9.21772956328699,17.78227043671301
1998/1/4,90.7,2,1.20E-07,7.748653395042226,-7.078653395
1998/1/5,89.3,2,7.80E-08,6.413485218037024,-5.213485218
1998/1/6,87,2,5.50E-08,5.212225032271383,-5.212225022
1998/1/7,84.9,0,4.10E-08,4.1448728377453055,-4.144872828
1998/1/8,82.2,0,2.80E-08,3.2114286344587875,-3.211428624
1998/1/9,81.6,0,2.00E-08,2.4118924224118334,-2.411892412
1998/1/10,80.7,1,1.20E-08,1.746264201604438,-0.786264202
1998/1/11,84.8,4,1.20E-08,1.2145439720365954,-0.634543972
1998/1/12,95.8,6,9.40E-08,0.8904936282641254,3.6095063717358746
1998/1/13,90.4,6,2.20E-07,0.823072901882956,0.47692709811704403
1998/1/14,93.9,5,1.10E-07,2.385609677263777,1.7143903227362225
1998/1/15,97.8,5,3.20E-07,1.6813010790781049,8.318698920921895
1998/1/16,97.5,8,1.70E-07,1.7872997706930107,-1.247299771
1998/1/17,95.9,9,1.20E-07,2.143530565040832,-1.663530565
1998/1/18,95.1,5,9.20E-08,2.33122262145142,-1.991222621
1998/1/19,93.5,7,9.40E-08,2.367198430967602,-1.977198431
1998/1/20,91.4,4,9.20E-08,2.3903465192840447,-0.890346519
1998/1/21,90.9,2,7.10E-08,2.366740765884241,-1.866740766
1998/1/22,93,3,6.10E-08,2.190768225920203,-1.820768226
1998/1/23,96.9,4,9.70E-08,2.2039522730434458,-1.713952273
1998/1/24,97.5,6,1.20E-07,1.9907388046060512,-1.990738795
1998/1/25,108.3,10,1.10E-07,1.933380190663587,11.066619809336412
1998/1/26,100,9,1.40E-07,2.4819908471330137,2.9180091528669867
1998/1/27,100.8,8,1.20E-07,2.4090356332395855,-1.969035633
1998/1/28,96.6,8,8.30E-08,2.269437725590029,-1.169437726
1998/1/29,93.6,8,7.40E-08,2.027208238927724,-0.227208239
1998/1/30,91,3,1.00E-07,1.7440143847596996,-1.404014385
1998/1/31,89.4,3,5.20E-08,1.5133148097024949,-1.39331481
1998/2/1,90.7,2,4.40E-08,1.15123896782607,-1.021238968
1998/2/2,89.1,2,5.30E-08,0.7011212821444816,0.06887871785551847
1998/2/3,88.8,3,4.90E-08,0.2129715597842402,0.1570284402157598
1998/2/4,89.1,2,4.40E-08,-0.411922196,1.0719221957371632
1998/2/5,85.5,3,6.50E-08,0.02140568920889148,-0.021405679
1998/2/6,84.2,3,2.60E-08,0.1445995433932636,0.16540045660673638
1998/2/7,83.1,2,2.60E-08,0.08526315890486957,0.17473684109513044
1998/2/8,83.6,3,3.60E-08,0.01653154718535444,0.6534684528146456
1998/2/9,83.7,3,3.80E-08,0.3879764637103572,0.04202353628964278
1998/2/10,83.7,5,4.50E-08,0.6666917299901832,-0.55669173
1998/2/11,86.2,5,3.30E-08,0.9222687157535006,-0.682268716
1998/2/12,90.6,5,5.10E-08,1.094099379156571,-0.614099379
1998/2/13,94.7,4,6.30E-08,1.2796240601797786,-0.98962406
1998/2/14,104.8,5,1.20E-07,1.4844197447662417,-0.634419745
1998/2/15,107.3,5,3.20E-07,1.6905982341581967,0.10940176584180339
1998/2/16,106.8,5,1.70E-07,1.8147041516835303,1.38529584831647
1998/2/17,104.9,5,2.20E-07,1.9285420071918646,0.9714579928081353
1998/2/18,103.3,7,1.20E-07,1.9974338018960152,3.202566198103985
1998/2/19,98.5,4,1.30E-07,1.9732821183392977,-0.873282118
1998/2/20,95.7,5,9.30E-08,1.868094148414487,-0.868094148
1998/2/21,94.8,2,6.80E-08,1.741536449820177,-1.08153645
1998/2/22,95.5,3,7.10E-08,1.5297973193853975,-0.129797319
1998/2/23,99.4,4,2.10E-07,1.1763582870218854,0.6236417129781147
1998/2/24,98.6,5,2.60E-07,1.0576887871853393,-0.057688787
1998/2/25,94.7,4,1.60E-07,1.0436645962732765,-0.183664596
1998/2/26,92.7,4,6.70E-08,1.0720889179470257,-0.312088918
1998/2/27,90.3,5,4.50E-08,1.200415168355654,-0.770415168
1998/2/28,94,4,6.30E-08,1.3916704799901725,-1.27167048
1998/3/1,98.3,6,1.10E-07,1.7395684861850023,-0.539568486
1998/3/2,56.8,6,1.30E-07,1.810997057891441,0.08900294210855897
1998/3/3,96.6,3,2.20E-07,1.582491010408607,0.01750898959139313
1998/3/4,101.7,6,3.20E-07,1.6475972544916395,1.0524027455083607
1998/3/5,96.7,5,5.70E-07,0.3759071598692324,5.224092840130767
1998/3/6,91.7,4,2.10E-07,0.8104609357600403,1.8895390642399599
1998/3/7,91.9,4,2.30E-07,1.7966982683360315,-0.496698268
1998/3/8,91.2,4,1.60E-07,2.3327754178129765,-1.232775418
1998/3/9,90,3,1.40E-07,2.8532592361032596,-1.753259236
1998/3/10,96.3,5,1.50E-07,3.8969271014350517,-3.896927091
1998/3/11,100.7,5,1.00E-07,4.937551488473284,-4.207551488
1998/3/12,101.6,7,1.80E-07,5.2693756139554635,-4.269375614
1998/3/13,104.9,7,1.20E-07,5.0585060486563505,0.7414939513436494
1998/3/14,119.6,9,2.20E-07,6.090983982507266,-3.890983983
1998/3/15,133,12,4.20E-07,7.259454070624281,19.74054592937572
1998/3/16,123.9,6,5.40E-07,7.802033344717113,3.1979666552828867
1998/3/17,125.5,6,6.80E-07,8.064880680235252,-4.46488068
1998/3/18,127,8,3.30E-07,9.623216737525194,0.376783262474806
1998/3/19,124.6,7,3.50E-07,11.02969597882952,0.9703040211704792
1998/3/20,126.5,9,5.00E-07,11.779908466260043,-7.279908466
1998/3/21,125.8,6,4.50E-07,12.09151356652483,-10.69151357
1998/3/22,127.6,7,6.80E-07,11.910859758090703,-0.910859758
1998/3/23,122,7,1.00E-06,11.300578620464037,11.699421379535963
1998/3/24,120.6,7,4.90E-07,10.392356979404882,-2.392356979
