date,F107,Mag,Xbg,FI_smooth,FI_jitter
1998/1/1,101.6,6,1.60E-07,17.749090910197623,1.7409090898023756
1998/1/2,101,3,2.20E-07,15.980987014696774,11.779012985303227
1998/1/3,101.1,2,4.10E-07,14.334079291362114,15.965920708637887
1998/1/4,90.7,2,1.20E-07,12.808367740193638,-10.61836774
1998/1/5,89.3,2,7.80E-08,11.403852361191351,-10.20385236
1998/1/6,87,2,5.50E-08,10.120533154355249,-10.12053314
1998/1/7,84.9,0,4.10E-08,8.958410119685333,-8.95841011
1998/1/8,82.2,0,2.80E-08,7.917483257181603,-7.917483247
1998/1/9,81.6,0,2.00E-08,6.99775256684406,-6.997752557
1998/1/10,80.7,1,1.20E-08,6.199218048672703,-4.309218049
1998/1/11,84.8,4,1.20E-08,5.521879702667457,-4.411879703
1998/1/12,95.8,6,9.40E-08,5.316234066315712,21.80376593368429
1998/1/13,90.4,6,2.20E-07,6.1802713327426355,-0.310271333
1998/1/14,93.9,5,1.10E-07,8.003269043069514,4.756730956930486
1998/1/15,97.8,5,3.20E-07,7.036149068617091,17.503850931382907
1998/1/16,97.5,8,1.70E-07,6.6351945075350445,-4.805194508
1998/1/17,95.9,9,1.20E-07,6.824341287499083,-5.214341287
1998/1/18,95.1,5,9.20E-08,6.6930892445307935,-5.833089245
1998/1/19,93.5,7,9.40E-08,6.1112716575121695,-4.681271658
1998/1/20,91.4,4,9.20E-08,5.32901928816272,-3.829019288
1998/1/21,90.9,2,7.10E-08,4.4027231130564894,-3.242723113
1998/1/22,93,3,6.10E-08,3.0879731948642886,-0.477973195
1998/1/23,96.9,4,9.70E-08,3.6843510961882426,-1.814351096
1998/1/24,97.5,6,1.20E-07,3.084596274367395,-3.084596264
1998/1/25,108.3,10,1.10E-07,3.0559594649362087,14.854040535063792
1998/1/26,100,9,1.40E-07,4.333644982471332,8.036355017528667
1998/1/27,100.8,8,1.20E-07,4.190545930722397,-2.790545931
1998/1/28,96.6,8,8.30E-08,3.9354037275514293,-2.835403728
1998/1/29,93.6,8,7.40E-08,3.5020300761294023,-0.622030076
1998/1/30,91,3,1.00E-07,3.0509480232036164,-1.940948023
1998/1/31,89.4,3,5.20E-08,2.564099379823434,-2.33409938
1998/2/1,90.7,2,4.40E-08,1.9175678334684254,-1.787567833
1998/2/2,89.1,2,5.30E-08,1.133389997410902,0.5166100025890978
1998/2/3,88.8,3,4.90E-08,0.49623733291270933,0.37376266708729067
1998/2/4,89.1,2,4.40E-08,-0.557159201,1.2171592012945327
1998/2/5,85.5,3,6.50E-08,-0.380604772,0.3806047817260486
1998/2/6,84.2,3,2.60E-08,0.42788493077475664,0.29211506922524333
1998/2/7,83.1,2,2.60E-08,0.6313795368061366,0.25862046319386345
1998/2/8,83.6,3,3.60E-08,0.6300555746452996,0.7699444253547003
1998/2/9,83.7,3,3.80E-08,1.3671493960411698,-0.377149396
1998/2/10,83.7,5,4.50E-08,2.061889507041487,-1.841889507
1998/2/11,86.2,5,3.30E-08,2.751477607548178,-2.101477608
1998/2/12,90.6,5,5.10E-08,3.107106897953534,0.552893102046466
1998/2/13,94.7,4,6.30E-08,3.481193200421655,-2.7611932
1998/2/14,104.8,5,1.20E-07,3.9585158546060217,-0.118515855
1998/2/15,107.3,5,3.20E-07,4.459885582964955,5.520114417035045
1998/2/16,106.8,5,1.70E-07,4.799280810722388,-0.599280811
1998/2/17,104.9,5,2.20E-07,5.050722458319638,0.2592775416803619
1998/2/18,103.3,7,1.20E-07,5.182631578947292,5.017368421052708
1998/2/19,98.5,4,1.30E-07,4.809607714939451,-0.949607715
1998/2/20,95.7,5,9.30E-08,4.400719189277477,-1.500719189
1998/2/21,94.8,2,6.80E-08,3.6929519450800368,-2.762951945
1998/2/22,95.5,3,7.10E-08,2.8338443935926354,1.4761556064073642
1998/2/23,99.4,4,2.10E-07,1.9114416475972256,3.858558352402774
1998/2/24,98.6,5,2.60E-07,2.6904445897351676,0.8995554102648322
1998/2/25,94.7,4,1.60E-07,3.7976822491009576,-2.027682249
1998/2/26,92.7,4,6.70E-08,5.317924158221562,-4.077924158
1998/2/27,90.3,5,4.50E-08,6.130487087283337,-5.320487087
1998/2/28,94,4,6.30E-08,7.171680287116599,-6.941680287
1998/3/1,98.3,6,1.10E-07,8.255109512664148,-1.375109513
1998/3/2,56.8,6,1.30E-07,8.792088917976335,-1.062088918
1998/3/3,96.6,3,2.20E-07,8.803023864282316,3.7769761357176836
1998/3/4,101.7,6,3.20E-07,8.672729650699448,9.837270349300553
1998/3/5,96.7,5,5.70E-07,3.98708074600844,25.90291925399156
1998/3/6,91.7,4,2.10E-07,4.533743054099312,2.8662569459006884
1998/3/7,91.9,4,2.30E-07,7.612059497495803,-4.362059497
1998/3/8,91.2,4,1.60E-07,10.400127493654637,-8.540127494
1998/3/9,90,3,1.40E-07,11.744354365230294,-7.074354365
1998/3/10,96.3,5,1.50E-07,13.797708402513692,-13.79770839
1998/3/11,100.7,5,1.00E-07,16.193465185759813,-13.30346519
1998/3/12,101.6,7,1.80E-07,17.539764629973586,-14.14976463
1998/3/13,104.9,7,1.20E-07,18.39848643440313,-9.748486434
1998/3/14,119.6,9,2.20E-07,19.81127492726025,-12.11127493
1998/3/15,133,12,4.20E-07,22.267489376279503,69.8925106237205
1998/3/16,123.9,6,5.40E-07,24.75687152712942,22.473128472870577
